stock_code,buy_date,sell_date,buy_price,sell_price
2485,2023/9/1,2023/9/4,29.7,29.3
6122,2023/9/1,2023/9/8,50.3,56.1
6122,2023/9/4,2023/9/12,50.1,55.5
2402,2023/9/4,2023/9/5,45.3,45.7
3588,2023/9/4,2023/9/5,69.9,70.5
5381,2023/9/4,2023/9/8,27.5,28.35
5381,2023/9/7,2023/9/8,30,29.25
3548,2023/9/6,2023/9/7,122,124.5
3548,2023/9/6,2023/9/11,123,115
6274,2023/9/6,2023/9/7,138,136
6274,2023/9/6,2023/9/8,140,134
1319,2023/9/11,2023/9/13,71.8,73.7
1319,2023/9/12,2023/9/13,74.3,73.7
3213,2023/9/11,2023/9/12,76.7,78.4
3346,2023/9/12,2023/9/13,49.9,50
3346,2023/9/13,2023/9/13,52.1,50
4977,2023/9/14,2023/9/20,89.2,84.4
8048,2023/9/14,2023/9/19,91.5,85.9
2313,2023/9/18,2023/9/25,56.9,54.8
2363,2023/9/18,2023/10/3,36.6,36.35
2363,2023/9/18,2023/10/3,37.95,36.35
2313,2023/9/19,2023/9/25,59.30,54.8
3036,2023/9/25,2023/10/18,94.4,115
